default,student,loan,income
0,0,730,44362
0,1,817,12106
0,0,1074,31767
0,0,529,35704
0,0,786,38463
0,1,920,7492
0,0,826,24905
0,1,809,17600
0,0,1161,37469
0,0,0,29275
0,1,0,21871
0,1,1221,13269
0,0,237,28252
0,0,607,44995
0,0,1113,23810
0,0,286,45042
0,0,0,50265
0,1,528,17637
0,0,486,61566
0,0,1095,26465
0,0,229,50500
0,0,954,32458
0,0,1056,51318
0,0,642,30466
0,0,773,34353
0,0,855,25211
0,0,643,41474
0,0,1455,32189
0,0,616,39376
0,1,1120,16556
0,0,495,54385
0,1,449,15799
0,1,585,22430
0,0,914,46907
0,1,1424,22634
0,1,1500,13191
0,0,692,47807
0,0,351,35087
0,0,743,37865
0,0,653,39490
0,0,872,41788
0,0,837,51472
0,0,1152,42917
0,1,221,16873
0,1,1690,19053
0,0,409,54207
0,0,1239,50067
0,0,1228,37409
0,0,821,47747
0,0,857,31688
0,0,564,42641
0,1,1283,13121
0,1,1506,26557
0,1,904,16882
0,0,0,49957
0,1,1294,10464
0,1,1276,15887
0,0,1537,48767
0,0,1333,39143
0,0,492,33379
0,0,766,46478
0,0,690,63433
0,0,0,32482
0,0,1481,36866
0,0,989,45344
0,0,1302,33695
0,0,1045,54697
0,0,0,43658
0,0,866,38363
0,0,691,48140
0,0,598,31578
0,0,429,51311
0,0,1398,39645
0,1,1578,19886
0,0,857,26656
0,1,752,16211
0,1,775,15194
0,0,728,45132
0,0,77,28392
0,0,196,41347
0,1,949,14298
0,0,432,39370
0,0,462,46221
0,0,572,33046
0,0,336,51258
0,0,510,60398
0,1,1005,24039
0,1,162,13242
0,0,933,50537
0,1,893,11906
0,0,1333,44495
0,0,1404,35043
0,1,1149,16578
0,0,368,57597
0,0,449,45951
0,0,820,51585
0,1,620,15751
0,0,1048,46417
0,0,244,47194
0,0,187,45431
0,0,1422,38224
0,0,384,61425
0,0,1159,45802
0,0,883,17182
0,0,1463,65458
0,1,1722,19311
0,1,774,14559
0,0,958,32816
0,0,1208,68038
0,0,1057,30547
0,0,118,46550
0,0,597,58088
0,0,0,47730
0,1,542,16336
0,0,1119,45020
